编号,名称,描述,法力,力道,身法,元气,生命,物攻,魔攻,物防,魔防,霸道,会心,卸力,化解,力道%,身法%,元气%
ID,Name,Description,MaxMPValue,StrengthValue,AgilityValue,IntelligenceValue,MaxHPValue,PHAttackValue,MAAttackValue,PHDefenseValue,MaDefenseValue,Overbearing,Critical ,PHBlock,MABlock,StrengthPercent,AgilityPercent,IntelligencePercent
long,StringType,StringType,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,xx,1000是100%,1000是100%,1000是100%
11000001,力士1级属性,,100,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
11000002,力士2级属性,,108,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
11000003,力士3级属性,,116,12,5,5,0,0,0,0,0,0,0,0,0,0,0,0
11000004,力士4级属性,,124,15,6,6,0,0,0,0,0,0,0,0,0,0,0,0
11000005,力士5级属性,,132,17,7,7,0,0,0,0,0,0,0,0,0,0,0,0
11000006,力士6级属性,,140,20,9,9,0,0,0,0,0,0,0,0,0,0,0,0
11000007,力士7级属性,,148,23,10,10,0,0,0,0,0,0,0,0,0,0,0,0
11000008,力士8级属性,,156,25,11,11,0,0,0,0,0,0,0,0,0,0,0,0
11000009,力士9级属性,,164,28,12,12,0,0,0,0,0,0,0,0,0,0,0,0
11000010,力士10级属性,,173,31,14,14,0,0,0,0,0,0,0,0,0,0,0,0
11000011,力士11级属性,,181,34,15,15,0,0,0,0,0,0,0,0,0,0,0,0
11000012,力士12级属性,,189,38,17,17,0,0,0,0,0,0,0,0,0,0,0,0
11000013,力士13级属性,,197,42,19,19,0,0,0,0,0,0,0,0,0,0,0,0
11000014,力士14级属性,,205,45,20,20,0,0,0,0,0,0,0,0,0,0,0,0
11000015,力士15级属性,,213,49,22,22,0,0,0,0,0,0,0,0,0,0,0,0
11000016,力士16级属性,,221,53,24,24,0,0,0,0,0,0,0,0,0,0,0,0
11000017,力士17级属性,,229,56,25,25,0,0,0,0,0,0,0,0,0,0,0,0
11000018,力士18级属性,,237,60,27,27,0,0,0,0,0,0,0,0,0,0,0,0
11000019,力士19级属性,,245,64,29,29,0,0,0,0,0,0,0,0,0,0,0,0
11000020,力士20级属性,,254,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0
11000021,力士21级属性,,262,70,32,32,0,0,0,0,0,0,0,0,0,0,0,0
11000022,力士22级属性,,270,73,33,33,0,0,0,0,0,0,0,0,0,0,0,0
